account_id,account_manager,company_type,sub_team_id,geography,industry,sub_industry
A-0422543,lunig,C,52,central,Other,Other
A-0424229,jaleiho,D,66,central,Retail & Consumer Goods,DIY & Garden
A-0433514,lunig,D,52,central,Technology,Telecommunications
A-0434786,chsesg,D,59,central,Apparel,Accessories
A-0436300,lunig,C,52,central,Other,Other
A-0436443,peruon,C,59,central,Pharmaceuticals,Pharmaceutical products
A-0438800,calquad,C,54,west,Apparel,Textiles
A-0447243,alaogzá,D,54,west,Manufacturer - Machinery & Electronics,Machinery
A-0448429,jonungns,C,60,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0452857,keedein,E,50,north,Industrial & Engineering,Industrial Machinery & Equipment
A-0453529,juypruyń,D,70,east,Food & Beverage,Food - Packaged & Dry
A-0456443,jonbuho,D,61,central,Automotive,Automotive - Vehicles
A-0457686,daeirt,D,59,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0462814,keedein,C,50,north,Retail & Consumer Goods,Furniture & Furnishings
A-0466629,errma,C,60,central,Food & Beverage,Beverages - Alcoholic
A-0468971,zarupi,C,50,north,Food & Beverage,Food - Perishables & Fresh
A-0047614,beasohe,A,52,central,Other,Other
A-0479600,leaborsk,A,55,south,Resources (Processed),Glass & Porcelain
A-0493386,juypruyń,D,70,east,Chemicals,Chemicals
A-0050500,lehae,A,52,central,Other,Other
A-0052186,lehae,E,52,central,Other,Other
A-0052671,lehae,A,52,central,Other,Other
A-0055657,beasohe,A,52,central,Other,Other
A-0069729,beasohe,A,52,central,Other,Other
A-0082614,lehae,A,52,central,Other,Other
A-0110386,beasohe,A,52,central,Retail & Consumer Goods,Pet care
A-0124300,beasohe,A,52,central,Other,Other
A-0126871,beasohe,A,52,central,Other,Other
A-0127871,lunig,A,52,central,Other,Other
A-0128729,lunig,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0137800,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0159614,faarocte,D,52,central,Food & Beverage,Food - Perishables & Fresh
A-0175271,freanrs,C,60,central,Other,Other
A-0185943,ladt,D,52,central,Retail & Consumer Goods,Household supplies
A-0186643,donmar,C,61,central,Automotive,Automotive - Components & Spare parts
A-0194086,beasohe,A,52,central,Other,Other
A-0224729,beasohe,A,52,central,Other,Other
A-0244743,beasohe,A,52,central,Apparel,Apparel - General
A-0269114,lunig,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0028486,maeaßmh,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0285943,lehae,A,52,central,Other,Other
A-0028843,lunig,A,52,central,Other,Other
A-0030400,lehae,A,52,central,Industrial & Engineering,Electrical Engineering
A-0031600,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0347257,lehae,A,52,central,Other,Other
A-0364857,lunig,C,52,central,Construction,Building Materials
A-0373300,beasohe,A,52,central,Other,Other
A-0038443,daeirt,D,59,central,Apparel,Apparel - General
A-0402843,lehae,A,52,central,Other,Other
A-0040429,beasohe,A,52,central,Other,Others
A-0042271,beasohe,A,52,central,Other,Other
